filename	factorName	cellLine	pos	whm.	whm..1	delta	height	height_norm	avg	bgr	sig_to_noise
H2AFZ-human_A549_ENCFF073QHW-flat80-peaklist.text	H2AFZ	A549	93	27	145	118	1.3964661215	1.15127409463	0.935254972316	0.354410046729	1.53457404357
H2AFZ-human_A549_ENCFF200VUR-flat80-peaklist.text	H2AFZ	A549	106	26	150	124	1.60460602726	1.35151415123	1.05267326854	0.241212788068	3.04386118655
H2AFZ-human_A549_ENCFF200VUR-flat80-peaklist.text	H2AFZ	A549	242	194	320	126	1.5882236078	1.33513173177	1.3029078602	0.653684516168	1.63778389419
H2AFZ-human_A549_ENCFF200VUR-flat80-peaklist.text	H2AFZ	A549	399	357	422	65	1.77848584877	1.52539397274	1.40404480344	0.622188092182	2.63902368971
H2AFZ-human_A549_ENCFF360XEW-flat80-peaklist.text	H2AFZ	A549	91	75	143	68	1.43078271028	1.13679176402	1.05150874475	0.274970794393	1.67499898938
H2AFZ-human_A549_ENCFF479DHB-flat80-peaklist.text	H2AFZ	A549	99	26	145	119	2.33741195741	2.1475036855	1.66320720721	0.499795249795	3.10083548299
H2AFZ-human_A549_ENCFF479DHB-flat80-peaklist.text	H2AFZ	A549	265	184	320	136	2.57441441441	2.38450614251	2.13030829104	1.108001638	2.25597934181
H2AFZ-human_A549_ENCFF479DHB-flat80-peaklist.text	H2AFZ	A549	405	341	429	88	2.25366093366	2.06375266175	1.90845006396	1.20995904996	1.82777455416
H2AFZ-human_A549_ENCFF585JDY-flat80-peaklist.text	H2AFZ	A549	110	27	148	121	2.20704340704	1.8647973792	1.56406613767	0.498329238329	2.80828318499
H2AFZ-human_A549_ENCFF585JDY-flat80-peaklist.text	H2AFZ	A549	242	184	318	134	2.72622440622	2.38397837838	2.21984311584	1.07285831286	2.66350419275
H2AFZ-human_A549_ENCFF585JDY-flat80-peaklist.text	H2AFZ	A549	405	351	429	78	2.47547911548	2.13323308763	2.08180491193	1.20927927928	2.25161818084
H2AFZ-human_A549_ENCFF907BDY-flat80-peaklist.text	H2AFZ	A549	101	23	148	125	1.48384049555	1.01937390631	1.09565129756	0.271343399148	2.19341985876
H2AFZ-human_A549_ENCFF907BDY-flat80-peaklist.text	H2AFZ	A549	290	190	320	130	1.55973674022	1.09527015099	1.31639994917	0.640588463027	1.5819162097
H2AFZ-human_A549_ENCFF907BDY-flat80-peaklist.text	H2AFZ	A549	387	353	422	69	1.65005032907	1.18558373984	1.36003628118	0.687719705768	1.93151705854
H2AFZ-human_bipolar_neuron_ENCFF061FZL-flat80-peaklist.text	H2AFZ	bipolar_neuron	107	50	161	111	2.47766973897	2.26271970219	2.18480787664	1.0915100772	4.71874677934
H2AFZ-human_bipolar_neuron_ENCFF061FZL-flat80-peaklist.text	H2AFZ	bipolar_neuron	246	218	311	93	3.34616580211	3.13121576534	3.05759816965	2.36635564112	3.27046703254
H2AFZ-human_bipolar_neuron_ENCFF061FZL-flat80-peaklist.text	H2AFZ	bipolar_neuron	369	315	416	101	3.49442878799	3.27947875121	3.06263621226	2.25991147669	4.31202627863
H2AFZ-human_bipolar_neuron_ENCFF061FZL-flat80-peaklist.text	H2AFZ	bipolar_neuron	625	473	802	329	2.93846760008	2.72351756331	2.29618129214	1.22495858465	6.61685755388
H2AFZ-human_bipolar_neuron_ENCFF170KJJ-flat80-peaklist.text	H2AFZ	bipolar_neuron	107	49	160	111	2.49878547178	2.31271016591	2.20726267879	1.08834988149	5.18228334499
H2AFZ-human_bipolar_neuron_ENCFF170KJJ-flat80-peaklist.text	H2AFZ	bipolar_neuron	245	216	313	97	3.38714752418	3.20107221831	3.0556685958	2.34407597207	3.82267556212
H2AFZ-human_bipolar_neuron_ENCFF170KJJ-flat80-peaklist.text	H2AFZ	bipolar_neuron	372	317	417	100	3.47791813465	3.29184282877	3.04966539841	2.27393376465	4.59441137219
H2AFZ-human_bipolar_neuron_ENCFF170KJJ-flat80-peaklist.text	H2AFZ	bipolar_neuron	625	473	802	329	2.9203369419	2.73426163603	2.30514360697	1.2675036833	6.2853917583
H2AFZ-human_bipolar_neuron_ENCFF493OWE-flat80-peaklist.text	H2AFZ	bipolar_neuron	131	60	166	106	2.03917589507	1.92042076121	1.81283531969	0.927605902591	2.6537981547
H2AFZ-human_bipolar_neuron_ENCFF493OWE-flat80-peaklist.text	H2AFZ	bipolar_neuron	370	220	429	209	3.14334748952	3.02459235566	2.67670817526	1.71402537362	2.94702933103
H2AFZ-human_bipolar_neuron_ENCFF493OWE-flat80-peaklist.text	H2AFZ	bipolar_neuron	593	482	813	331	2.43102354586	2.312268412	2.0134731189	1.16647000323	3.0619932199
H2AFZ-human_bipolar_neuron_ENCFF529WQB-flat80-peaklist.text	H2AFZ	bipolar_neuron	131	60	167	107	1.98177414189	1.86177779854	1.75806855005	0.886207494795	2.72254789788
H2AFZ-human_bipolar_neuron_ENCFF529WQB-flat80-peaklist.text	H2AFZ	bipolar_neuron	370	220	426	206	3.09996129824	2.97996495489	2.64613094616	1.68705426253	2.84254501896
H2AFZ-human_bipolar_neuron_ENCFF529WQB-flat80-peaklist.text	H2AFZ	bipolar_neuron	609	478	813	335	2.38530000534	2.26530366199	1.97602980274	1.13377195324	2.97505687079
H2AFZ-human_H1-hESC_ENCFF192FKF-flat80-peaklist.text	H2AFZ	H1-hESC	273	34	426	392	4.8876138649	4.54633976103	3.45564623307	0.582367206909	4.80892821913
H2AFZ-human_H1-hESC_ENCFF532SKM-flat80-peaklist.text	H2AFZ	H1-hESC	274	186	310	124	3.47711781889	3.1554054806	2.54994983076	0.674039041128	2.97203404775
H2AFZ-human_H1-hESC_ENCFF537BVW-flat80-peaklist.text	H2AFZ	H1-hESC	273	32	429	397	5.04302608902	4.77679919178	3.48746286851	0.543650086171	4.91866314226
H2AFZ-human_H1-hESC_ENCFF537BVW-flat80-peaklist.text	H2AFZ	H1-hESC	763	709	786	77	1.88179711178	1.61557021454	1.45999789715	0.776668449516	1.38459967846
