filename	factorName	cellLine	pos	whm.	whm..1	delta	height	height_norm	avg	bgr	sig_to_noise
ARID1B-human_K562_ENCFF143XOC-flat80-peaklist.text	ARID1B	K562	437	260	536	276	1.67175910708	1.3173401169	1.26654767974	0.605908707644	3.35320633253
ARID1B-human_K562_ENCFF575FWJ-flat80-peaklist.text	ARID1B	K562	442	339	521	182	1.72200705987	1.32995155274	1.36526860204	0.652919697598	3.10814245316
ATF2-human_H1-hESC_ENCFF120VGT-flat80-peaklist.text	ATF2	H1-hESC	242	188	304	116	2.1940273467	1.92950171965	1.69970396277	0.807755221877	1.56662067446
ATF2-human_H1-hESC_ENCFF120VGT-flat80-peaklist.text	ATF2	H1-hESC	417	349	516	167	2.51757402902	2.25304840198	1.83123369724	0.840114084389	2.17996520127
ATF2-human_H1-hESC_ENCFF120VGT-flat80-peaklist.text	ATF2	H1-hESC	5663	5632	5690	58	1.61207113497	1.34754550793	0.905269009681	-0.456924754635	3.05193707811
ATF2-human_H1-hESC_ENCFF342OKF-flat80-peaklist.text	ATF2	H1-hESC	50	23	106	83	1.3352841391	1.08055682782	1.0271502282	0.445441051739	1.33051211962
ATF2-human_H1-hESC_ENCFF342OKF-flat80-peaklist.text	ATF2	H1-hESC	242	188	302	114	2.11136556404	1.85663825276	1.68378434193	0.886980491942	1.35736557694
ATF2-human_H1-hESC_ENCFF342OKF-flat80-peaklist.text	ATF2	H1-hESC	416	368	441	73	2.38782866836	2.13310135708	1.97494097151	1.1631043257	1.70779589541
ATF2-human_H1-hESC_ENCFF342OKF-flat80-peaklist.text	ATF2	H1-hESC	5418	5355	5446	91	1.36314673452	1.10841942324	0.948298115573	-0.0436598812553	1.90399311798
ATF2-human_H1-hESC_ENCFF342OKF-flat80-peaklist.text	ATF2	H1-hESC	5654	5628	5686	58	1.90093299406	1.64620568278	1.11887048777	-0.339652247668	3.3363259296
ATF2-human_H1-hESC_ENCFF345DYU-flat80-peaklist.text	ATF2	H1-hESC	241	178	302	124	2.33304604777	2.01087745219	1.93114109825	1.08528277107	1.63185249006
ATF2-human_H1-hESC_ENCFF345DYU-flat80-peaklist.text	ATF2	H1-hESC	403	363	440	77	2.81560371009	2.4934351145	2.26171556835	1.19541574325	2.2926558329
ATF2-human_H1-hESC_ENCFF345DYU-flat80-peaklist.text	ATF2	H1-hESC	5654	5624	5687	63	1.78552080768	1.4633522121	0.955882428384	-0.441557908561	3.40904346306
ATF2-human_H1-hESC_ENCFF497ZKE-flat80-peaklist.text	ATF2	H1-hESC	233	161	302	141	2.22374168266	1.92600481692	1.83751258418	0.959025594971	1.68501559458
ATF2-human_H1-hESC_ENCFF497ZKE-flat80-peaklist.text	ATF2	H1-hESC	406	359	440	81	2.76090949912	2.46317263338	2.24072982555	1.14961015635	2.30080159032
ATF2-human_H1-hESC_ENCFF497ZKE-flat80-peaklist.text	ATF2	H1-hESC	5654	5619	5687	68	1.67253133037	1.37479446463	0.852771975036	-0.389843654325	3.35897474664
ATF2-human_HepG2_ENCFF843QDR-flat80-peaklist.text	ATF2	HepG2	2270	2105	2398	293	2.84438145841	2.39334319386	1.62558808304	0.0378418782395	10.4934285095
ATF2-human_HepG2_ENCFF929RZN-flat80-peaklist.text	ATF2	HepG2	2274	2120	2374	254	2.85730116857	2.4380682071	1.71853817296	0.0756274565892	9.80701283313
ATF2-human_K562_ENCFF780EID-flat80-peaklist.text	ATF2	K562	2278	2134	2365	231	1.37435315691	1.04538960804	0.897460867902	0.0193806882048	4.25807447001
ATF3-human_HepG2_ENCFF471RBZ-flat80-peaklist.text	ATF3	HepG2	5885	5805	6011	206	1.74345980003	1.22502122997	0.834155800244	-0.479814408985	2.32713745998
ATF3-human_HepG2_ENCFF767KYS-flat80-peaklist.text	ATF3	HepG2	5930	5830	6005	175	1.61210884354	1.15399727891	0.890594465059	-0.427278911565	2.29422441143
ATF7-human_K562_ENCFF002DOR-flat80-peaklist.text	ATF7	K562	261	84	352	268	1.61194363358	1.46135191929	1.36516953541	0.668476452186	2.56044324063
ATF7-human_K562_ENCFF002DOR-flat80-peaklist.text	ATF7	K562	440	356	585	229	1.66754937291	1.51695765863	1.37537584434	0.711752037197	2.88987532144
ATF7-human_K562_ENCFF002DOV-flat80-peaklist.text	ATF7	K562	273	154	331	177	1.55733610906	1.46061634855	1.321176586	0.683843494188	2.51975909612
ATF7-human_K562_ENCFF002DOV-flat80-peaklist.text	ATF7	K562	409	335	561	226	1.59348511073	1.49676535021	1.38564024133	0.950742950743	1.81348670536
ATF7-human_K562_ENCFF002DTY-flat80-peaklist.text	ATF7	K562	254	140	343	203	1.84472368566	1.641347529	1.53327116477	0.701558915686	3.61126038977
ATF7-human_K562_ENCFF002DTY-flat80-peaklist.text	ATF7	K562	445	347	570	223	1.96980772287	1.76643156621	1.59056180657	0.784385988502	3.90808430157
ATF7-human_K562_ENCFF002EIJ-flat80-peaklist.text	ATF7	K562	279	113	302	189	1.48566331573	1.34343265591	1.30457315271	0.716137508739	3.17003528436
ATF7-human_K562_ENCFF002EIJ-flat80-peaklist.text	ATF7	K562	442	306	554	248	1.87773197367	1.73550131385	1.54151091965	0.787866734167	4.57555119507
BCL11A-human_H1-hESC_ENCFF000ONH-flat80-peaklist.text	BCL11A	H1-hESC	410	352	584	232	2.15033925086	1.84193001208	1.08783623412	-0.389673761502	2.25787844742
BCOR-human_K562_ENCFF853ROL-flat80-peaklist.text	BCOR	K562	5709	5533	5856	323	4.57749173436	4.11701188938	3.49358136569	0.128753749644	14.8906262818
BCOR-human_K562_ENCFF996EBH-flat80-peaklist.text	BCOR	K562	5699	5529	5845	316	4.32127047895	3.95526540937	3.21421561767	0.405447414989	14.1566576689
CBX1-human_HepG2_ENCFF325HJM-flat80-peaklist.text	CBX1	HepG2	479	372	657	285	2.37282610494	2.02541690798	1.78393398503	0.269860837622	2.50747791659
CBX1-human_HepG2_ENCFF893FDD-flat80-peaklist.text	CBX1	HepG2	462	359	598	239	2.17177074423	1.94239948674	1.48603778158	0.355252352438	2.72472504439
CBX1-human_K562_ENCFF758UNJ-flat80-peaklist.text	CBX1	K562	5685	5559	5743	184	1.79018283066	1.02707646177	1.19917233381	0.391722969684	1.95503762122
CBX1-human_K562_ENCFF971UIQ-flat80-peaklist.text	CBX1	K562	5212	5141	5258	117	2.12142735313	1.51309056797	1.2304233592	-0.0772641992154	1.77088278934
CBX3-human_H1-hESC_ENCFF224IEM-flat80-peaklist.text	CBX3	H1-hESC	5734	5580	5826	246	1.67769930108	1.31465503867	1.02826678043	-0.0422678473079	4.29672647327
CBX3-human_HCT116_ENCFF000OYG-flat80-peaklist.text	CBX3	HCT116	2067	1989	2164	175	1.60077186964	1.16534734134	0.969761941889	-0.114994282447	2.28841453633
CBX3-human_HCT116_ENCFF000OYG-flat80-peaklist.text	CBX3	HCT116	4650	4548	4716	168	3.13121783877	2.69579331046	1.89287961675	-0.00107204116638	4.52103446009
CBX3-human_HCT116_ENCFF000OYG-flat80-peaklist.text	CBX3	HCT116	5698	5587	5839	252	2.52201257862	2.08658805031	1.36172900607	0.128073184677	2.58544551644
CBX3-human_HCT116_ENCFF000OYN-flat80-peaklist.text	CBX3	HCT116	2067	1986	2123	137	2.41423859263	2.0447100055	1.47920451196	-0.106823804288	4.07949056755
CBX3-human_HCT116_ENCFF000OYN-flat80-peaklist.text	CBX3	HCT116	4647	4577	4711	134	4.22189389775	3.85236531061	2.6481878525	0.169736118747	6.7643933992
CBX3-human_HCT116_ENCFF000OYN-flat80-peaklist.text	CBX3	HCT116	5699	5526	5843	317	2.85335349093	2.48382490379	1.35214183099	-0.273123969214	3.47561856882
CBX3-human_K562_ENCFF000PXA-flat80-peaklist.text	CBX3	K562	36	18	98	80	1.63876623377	1.27336255411	1.35578403078	0.611374458874	1.36998015761
CBX3-human_K562_ENCFF000PXA-flat80-peaklist.text	CBX3	K562	461	333	635	302	2.19770562771	1.83230194805	1.61506143471	0.522727272727	2.54047943968
CBX3-human_K562_ENCFF000PXA-flat80-peaklist.text	CBX3	K562	1675	1602	1728	126	1.44670995671	1.08130627706	1.10004090398	0.123138528139	1.92220631267
CBX3-human_K562_ENCFF000PXA-flat80-peaklist.text	CBX3	K562	2069	2024	2129	105	2.53861471861	2.17321103896	1.63971861472	0.19104978355	3.82047556837
